Time,Temperature
2022-10-20 07:28:00,14.5
2022-10-20 07:33:00,14.3
2022-10-20 07:38:00,14.1
2022-10-20 07:43:00,14.4
2022-10-20 07:49:00,14.4
2022-10-20 07:53:00,14.3
2022-10-20 08:00:00,14.1
2022-10-20 08:03:00,14.4
2022-10-20 08:08:00,14.4
2022-10-20 08:13:00,14.1
2022-10-20 08:18:00,14.2
2022-10-20 08:23:00,14.4
2022-10-20 08:28:00,14.3
2022-10-20 08:34:00,14.1
2022-10-20 08:38:00,14.4
2022-10-20 08:43:00,14.4
2022-10-20 08:48:00,14.2
2022-10-20 08:53:00,14.1
2022-10-20 08:58:00,14.4
2022-10-20 09:03:00,14.4
2022-10-20 09:08:00,14.1
2022-10-20 09:14:00,14.2
2022-10-20 09:18:00,14.4
2022-10-20 09:23:00,14.4
2022-10-20 09:29:00,14.1
2022-10-20 09:34:00,14.3
2022-10-20 09:38:00,14.5
2022-10-20 09:43:00,14.4
2022-10-20 09:48:00,14.1
2022-10-20 09:53:00,14.3
2022-10-20 09:59:00,14.5
2022-10-20 10:03:00,14.4
2022-10-20 10:08:00,14.1
2022-10-20 10:14:00,14.3
2022-10-20 10:18:00,14.5
2022-10-20 10:23:00,14.4
2022-10-20 10:28:00,14.1
2022-10-20 10:33:00,14.3
2022-10-20 10:45:00,14.45
2022-10-20 10:48:00,14.2
2022-10-20 10:53:00,14.2
2022-10-20 10:58:00,14.4
2022-10-20 11:03:00,14.4
2022-10-20 11:08:00,14.3
2022-10-20 11:13:00,14.1
2022-10-20 11:18:00,14.3
2022-10-20 11:23:00,14.5
2022-10-20 11:28:00,14.4
2022-10-20 11:33:00,14.2
2022-10-20 11:39:00,14.1
2022-10-20 11:43:00,14.4
2022-10-20 11:48:00,14.5
2022-10-20 11:53:00,14.4
2022-10-20 11:59:00,14.1
2022-10-20 12:03:00,14.3
2022-10-20 12:08:00,14.5
2022-10-20 12:13:00,14.5
2022-10-20 12:18:00,14.4
2022-10-20 12:23:00,14.3
2022-10-20 12:28:00,14.1
2022-10-20 12:33:00,14.1
2022-10-20 12:38:00,14.4
2022-10-20 12:44:00,14.5
2022-10-20 12:48:00,14.4
2022-10-20 12:53:00,14.3
2022-10-20 12:58:00,14.2
2022-10-20 13:03:00,14.1
2022-10-20 13:08:00,13.9
2022-10-20 13:13:00,13.9
2022-10-20 13:18:00,14.3
2022-10-20 13:23:00,14.4
2022-10-20 13:28:00,14.4
2022-10-20 13:33:00,14.4
2022-10-20 13:38:00,14.3
2022-10-20 13:43:00,14.3
2022-10-20 13:48:00,14.2
2022-10-20 13:53:00,14.1
2022-10-20 13:58:00,14.0
2022-10-20 14:12:00,14.100000000000001
2022-10-20 14:13:00,14.4
2022-10-20 14:18:00,14.5
2022-10-20 14:23:00,14.5
2022-10-20 14:29:00,14.5
2022-10-20 14:33:00,14.4
2022-10-20 14:38:00,14.4
2022-10-20 14:43:00,14.3
2022-10-20 14:48:00,14.3
2022-10-22 14:40:00,14.2
2022-10-22 14:45:00,14.1
2022-10-22 14:50:00,14.1
2022-10-22 14:55:00,14.0
2022-10-22 15:00:00,13.9
2022-10-22 15:05:00,14.0
2022-10-22 15:10:00,14.3
2022-10-22 15:15:00,14.5
2022-10-22 15:20:00,14.6
2022-10-22 15:25:00,14.6
2022-10-22 15:30:00,14.6
2022-10-22 15:35:00,14.5
2022-10-22 15:40:00,14.5
2022-10-22 15:45:00,14.5
2022-10-22 15:50:00,14.4
2022-10-22 15:55:00,14.4
2022-10-22 16:00:00,14.4
2022-10-22 16:05:00,14.3
2022-10-22 16:10:00,14.3
2022-10-22 16:15:00,14.3
2022-10-22 16:20:00,14.2
2022-10-22 16:25:00,14.1
2022-10-22 16:30:00,14.1
2022-10-22 16:35:00,14.0
2022-10-22 16:40:00,14.0
2022-10-22 16:45:00,13.9
2022-10-22 16:50:00,13.9
2022-10-22 16:55:00,13.9
2022-10-22 17:00:00,13.8
2022-10-22 17:05:00,13.8
2022-10-22 17:10:00,13.9
2022-10-22 17:15:00,14.3
2022-10-22 17:20:00,14.5
2022-10-22 17:25:00,14.5
2022-10-22 17:30:00,14.4
2022-10-22 17:35:00,14.4
2022-10-22 17:40:00,14.3
2022-10-22 17:45:00,14.3
2022-10-22 17:50:00,14.2
2022-10-22 17:55:00,14.1
2022-10-22 18:00:00,14.0
2022-10-22 18:05:00,13.9
2022-10-22 18:10:00,13.8
2022-10-22 18:15:00,13.7
2022-10-22 18:20:00,13.6
2022-10-22 18:25:00,13.6
2022-10-22 18:30:00,13.5
2022-10-22 18:35:00,13.4
2022-10-22 18:40:00,13.4
2022-10-22 18:45:00,13.4
2022-10-22 18:50:00,13.3
2022-10-22 18:55:00,13.3
2022-10-22 19:00:00,13.2
2022-10-22 19:05:00,13.2
2022-10-22 19:10:00,13.3
2022-10-22 19:15:00,13.7
2022-10-22 19:20:00,13.9
2022-10-22 19:25:00,14.0
2022-10-22 19:30:00,13.9
2022-10-22 19:35:00,13.8
2022-10-22 19:40:00,13.7
2022-10-22 19:45:00,13.6
2022-10-22 19:50:00,13.4
2022-10-22 19:55:00,13.3
2022-10-22 20:00:00,13.3
2022-10-22 20:05:00,13.6
2022-10-22 20:10:00,13.9
2022-10-22 20:15:00,14.0
2022-10-22 20:20:00,13.9
2022-10-22 20:25:00,13.8
2022-10-22 20:30:00,13.7
2022-10-22 20:35:00,13.6
2022-10-22 20:40:00,13.4
2022-10-22 20:45:00,13.3
2022-10-22 20:50:00,13.7
2022-10-22 20:55:00,14.0
